ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[02.05.26][มิ้น] มองปัญหาให้เป็นการเรียนรู้ (Witches)",120248232571620260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.03.26][มิ้น] ฉันจะมีชีวิตที่ดี (Kidmakk)",120245422532230260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.02.25][มิ้น] สัมภาษณ์คุณปั๊ม คิ้วต่ำ (Kiwtum)",120220060200360260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[03.03.26][มิ้น] ไม่เคยร้องไห้กับหนังสือจนมาเจอ 2 เล่มนี้ (Ghostly) (Remains)",120246033749230260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.12.24] [มิ้น] Unbox นี่คือหนังสือสรุปการเงินที่เข้าใจง่าย (Million)",120217743316290260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[24.03.25][มิ้น] 5 ข้อคิดที่ได้จากหนังสือ (Gift)",120222654403270260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[24.07.25][มิ้น] ฝนตกแบบนี้ยังมีไปรษณีย์มาส่ง (Ghostly)",120233475158630260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[29.03.26][มิ้น] เล่มลายเซ็นนักเขียนหมึกซึม (Ghostly) (Remains)",120246468504980260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[09.09.25][มิ้น] ประโยคนี้เตือนสติ (Witches)",120236551109280260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[21.03.25][มิ้น] Unboxing newbook (Gift)",120222451540920260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[17.03.25][มิ้น] การ์ดอยากบอกอะไรคุณ (Witches)",120222281364600260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[21.01.25] [มิ้น] Unboxing หนังสือฮีลใจเล่มใหม่ 2025 (Home)",120218671600690260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[04.02.26][มิ้น] มนุษย์ที่เป็นคนดี (สัมภาษณ์หมอ) (Trap)",120245891795580260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[26.11.24] [มิ้น] เงินเดือนก็พอใช้อยู่แล้ว (ปีศาจการเงิน)",120217325231390260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[07.03.25][มิ้น] วันนี้คุณเหนื่อยไหม (Embrace)",120221523412410260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
